instance_sn,role,app_name,cpu_request,cpu_limit,gpu_request,gpu_limit,rdma_request,rdma_limit,memory_request,memory_limit,disk_request,disk_limit,max_instance_per_node,creation_time,scheduled_time,deletion_time,estimated_runtime
instance_7281,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,610.0,683.0,91730.0,91120.0
instance_7284,CN,app_46,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,475.00000000000006,475.00000000000006,2843.0,2368.0
instance_7286,CN,app_42,192,192,0,0,51,51,937.5,937.5,510.0,600.0,-1,536.0,536.0,3674.000000000001,3138.000000000001
instance_7288,CN,app_27,64,64,0,0,1,1,320.0,320.0,384.0,480.0,-1,687.0,687.0,5040.0,4353.0
instance_7289,CN,app_56,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,736.0,736.0,137518.0,136782.0
instance_7290,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,738.0,795.0,6990.0,6252.0
instance_7291,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,738.0,795.0,18184.0,17446.0
instance_7293,CN,app_46,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,1640.0,1641.0,142703.0,141063.0
instance_7294,CN,app_28,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,2417.0,2417.0,561361.0,558944.0
instance_7295,CN,app_37,96,96,0,0,51,51,480.0,480.0,340.0,400.0,-1,2418.0,2418.0,1608535.0,1606117.0
instance_7296,CN,app_38,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,5687.0,5687.0,5813.0,126.0
instance_7297,CN,app_34,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,3437.0,3496.0,18238.0,14801.0
instance_7299,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,3835.000000000001,3836.000000000001,4789.0,953.9999999999991
instance_7300,HN,app_0,12,12,1,1,25,25,120.0,120.0,680.0,800.0,8,3973.000000000001,3973.000000000001,5647.0,1673.999999999999
instance_7301,HN,app_0,12,12,1,1,25,25,120.0,120.0,680.0,800.0,8,3974.000000000001,3974.000000000001,5658.0,1683.999999999999
instance_7302,HN,app_0,12,12,1,1,25,25,120.0,120.0,680.0,800.0,8,4012.000000000001,4012.000000000001,5965.0,1952.999999999999
instance_7303,CN,app_27,64,64,0,0,1,1,320.0,320.0,384.0,480.0,-1,4275.0,4290.0,25060.0,20785.0
instance_7304,CN,app_27,64,64,0,0,1,1,320.0,320.0,384.0,480.0,-1,4275.0,4275.0,1798339.0,1794064.0
instance_7305,CN,app_27,64,64,0,0,1,1,320.0,320.0,384.0,480.0,-1,4275.0,4275.0,2211448.0,2207173.0
instance_7306,CN,app_27,64,64,0,0,1,1,320.0,320.0,384.0,480.0,-1,4275.0,4275.0,293095.0,288820.0
instance_7308,HN,app_23,8,8,1,1,25,25,40.0,40.0,100.0,100.0,4,4823.0,4824.0,16311.000000000002,11488.000000000002
instance_7309,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,6222.0,6251.0,12743.0,6521.0
instance_7310,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,6222.0,6251.0,50992.0,44770.0
instance_7311,CN,app_19,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,6222.0,6222.0,217371.0,211149.0
instance_7312,CN,app_89,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,6222.0,6223.0,824967.0,818745.0
instance_7314,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,7535.000000000001,7535.000000000001,50542.0,43007.0
instance_7315,CN,app_35,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,9423.0,9423.0,9554.0,131.0
instance_7316,CN,app_18,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,8164.000000000001,8164.000000000001,25689.0,17525.0
instance_7317,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,8507.0,8534.0,367331.0,358824.0
instance_7318,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,8974.0,8975.0,66517.0,57543.0
instance_7319,HN,app_111,8,8,1,1,25,25,40.0,40.0,170.0,200.0,10,9124.0,9124.0,12720.0,3596.0
instance_7320,HN,app_111,8,8,1,1,25,25,40.0,40.0,170.0,200.0,10,9124.0,9124.0,23411.0,14287.0
instance_7321,CN,app_0,48,48,0,0,25,25,240.0,240.0,680.0,800.0,-1,9634.0,9634.0,304891.0,295257.0
instance_7323,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,11681.0,11708.0,129387.0,117706.0
instance_7324,HN,app_111,8,8,1,1,25,25,40.0,40.0,170.0,200.0,10,13093.0,13093.0,16679.0,3586.0
instance_7325,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,13541.0,13541.0,13667.0,126.0
